occ,y2_hhid,qx_type,interview_status,ag_l0a,ag_l0b,ag_l00b,ag_l0c,ag_l0d,ag_l01a,ag_l01b,ag_l02,ag_l03,ag_l04,ag_l15,ag_l16a,ag_l16b,ag_l17,ag_l18,ag_l19,ag_l20,ag_l21,ag_l22,ag_l23,ag_l24,ag_l25,ag_l26a,ag_l26b,ag_l27,ag_l28,ag_l29,ag_l30,ag_l31,ag_l32,ag_l33,ag_l34,ag_l35,ag_l36a,ag_l36b,ag_l37,ag_l38a,ag_l38b,ag_l39a,ag_l39b,ag_l40,ag_l41,ag_l42a,ag_l42b,ag_l43,ag_l44a,ag_l44b
4,1420-002,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1420-002,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1420-002,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1420-002,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1420-002,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1420-002,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1421-001,PANEL A,Panel A - 2 Visits,NO,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1421-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1421-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1421-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1421-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1421-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1421-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1421-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1421-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1421-004,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1422-002,PANEL B,Panel B - 2 Visits,NO,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1422-002,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1422-002,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1422-002,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1422-002,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1422-002,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1422-002,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1422-002,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1422-002,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1423-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1424-001,PANEL B,Panel B - 2 Visits,YES,ORGANIC FERTILIZER,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,60,KILOGRAM,"NO, THE ENTRIES WERE ADJUSTED",,NO,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,YES,60,KILOGRAM
2,1424-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1424-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1424-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1424-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1424-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1424-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1424-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1424-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1424-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1424-003,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1424-005,PANEL B,Panel B - 2 Visits,YES,ORGANIC FERTILIZER,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1424-005,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,CHITOWE,23:21:0+4S/CHITOWE,10,KILOGRAM,"YES, THE FIGURES MATCHED",NO,YES,N04,10,KILOGRAM,ON FOOT,0,1500,"PAID IN FULL, WITH OWN-SAVINGS",,,,NO,,,,,,,,,,,,,,,NO,,,,,,NO,,,,,
3,1424-005,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1424-005,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1424-005,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1424-005,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1424-005,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1424-005,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1424-005,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1425-001,PANEL A,Panel A - 2 Visits,YES,ORGANIC FERTILIZER,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1425-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1425-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1425-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1425-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1425-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1425-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1425-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1425-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1426-001,PANEL B,Panel B - 2 Visits,YES,ORGANIC FERTILIZER,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,3,OX CART,"YES, THE FIGURES MATCHED",,NO,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,YES,3,OX CART
2,1426-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1426-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1426-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1426-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1426-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1426-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1426-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1426-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1426-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1428-001,PANEL B,Panel B - 2 Visits,YES,ORGANIC FERTILIZER,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,150,KILOGRAM,"YES, THE FIGURES MATCHED",,NO,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,YES,150,KILOGRAM
2,1428-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1428-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1428-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1428-001,PANEL B,Panel B - 2 Visits,YES,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1428-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1428-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1428-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1428-001,PANEL B,Panel B - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1429-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1430-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1431-001,PANEL A,Panel A - 2 Visits,NO,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1431-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1431-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1431-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1431-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1431-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1431-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1431-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1431-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1431-009,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1431-012,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1432-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1433-001,PANEL A,Panel A - 2 Visits,NO,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1433-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1433-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1433-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1433-001,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1433-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1433-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1433-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1433-001,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1433-004,PANEL A,Panel A - 2 Visits,NO,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1433-004,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1433-004,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1433-004,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1433-004,PANEL A,Panel A - 2 Visits,NO,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1433-004,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1433-004,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1433-004,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1433-004,PANEL A,Panel A - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1433-006,PANEL A,Panel A - Only Visit 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1434-001,PANEL B,Panel B - 2 Visits,NO,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1434-001,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1434-001,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1434-001,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1434-001,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1434-001,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1434-001,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1434-001,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1434-001,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1436-001,PANEL B,Panel B - 2 Visits,NO,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1436-001,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1436-001,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1436-001,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1436-001,PANEL B,Panel B - 2 Visits,NO,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1436-001,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1436-001,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #2,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1436-001,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #3,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1436-001,PANEL B,Panel B - 2 Visits,NO,PESTICIDES/HERBICIDES TYPE #4,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1437-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1438-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
